cnn,st_name,st_type,cnntext,the_geom
23536000,26TH,ST,23536000,POINT (-122.38763397454234 37.75155960360227)
23918000,AHERN,WAY,23918000,POINT (-122.40395938320185 37.77631298128937)
20867000,DWIGHT,ST,20867000,POINT (-122.40803411770902 37.72248510006777)
52440000,25TH,ST,52440000,POINT (-122.38098490871306 37.75322801695822)
33712000,CHURCH PARKING LOT,,33712000,POINT (-122.47410830663847 37.71322325507673)
26078000,SEYMOUR,ST,26078000,POINT (-122.43789452760146 37.7797649481527)
27736000,IRVING,ST,27736000,POINT (-122.49534366759603 37.76275862819893)
20347000,PEABODY,ST,20347000,POINT (-122.40652859709154 37.71228274958684)
22119000,ARAGO,ST,22119000,POINT (-122.44361125108901 37.72674347393411)
51951000,EGBERT,AVE,51951000,POINT (-122.37576650269725 37.71310692957141)
20612000,WILLIAMS,AVE,20612000,POINT (-122.39897045809491 37.7301646141667)
27135000,FUNSTON,AVE,27135000,POINT (-122.47000978109124 37.75543206274499)
21076000,TOMPKINS,AVE,21076000,POINT (-122.41410345270553 37.7371054610195)
23213000,PACHECO,ST,23213000,POINT (-122.47942561685703 37.75036842281538)
35040000,ALTA,ST,35040000,POINT (-122.40446574546638 37.80151107830313)
26279000,SHRADER,ST,26279000,POINT (-122.45087416076476 37.763015894550946)
25292000,HYDE,ST,25292000,POINT (-122.41845766203534 37.79627546846457)
27277000,CABRILLO,ST,27277000,POINT (-122.4660187133558 37.775271429748074)
25413000,GREEN,ST,25413000,POINT (-122.41143925732281 37.79920241119654)
25813000,18TH,ST,25813000,POINT (-122.43500070157799 37.76088893305639)
25624000,AMES,ST,25624000,POINT (-122.42375718834923 37.755136520484555)
54320000,ANNIE,ST,54320000,POINT (-122.40248642299365 37.787773048429294)
52135000,I-280 SOUTHBOUND,,52135000,POINT (-122.44851663906509 37.718921650298036)
24840000,BROADWAY,,24840000,POINT (-122.4046799346864 37.79811844545618)
33270000,AUGUSTA,ST,33270000,POINT (-122.40549457144618 37.73428705078225)
33635000,LINDSAY,CIR,33635000,POINT (-122.38606720097026 37.734933138110534)
27492000,17TH,AVE,27492000,POINT (-122.47588827095737 37.77669297405069)
54234000,RICHLAND,AVE,54234000,POINT (-122.42699074222786 37.736528383096626)
33130000,HUDSON,AVE,33130000,POINT (-122.37144440925564 37.730492510114466)
23783000,CHANNEL,ST,23783000,POINT (-122.39631844001981 37.77109012109354)
24376000,VALENCIA,ST,24376000,POINT (-122.42196431205961 37.765720755876224)
22868000,GRANVILLE,WAY,22868000,POINT (-122.46106993924738 37.74089538754632)
21578000,WHIPPLE,AVE,21578000,POINT (-122.45063088702689 37.71311689780071)
51212000,LETTERMAN,DR,51212000,POINT (-122.45093453660145 37.79842446553432)
23906000,HARRISON,ST,23906000,POINT (-122.39961623241896 37.78079148308362)
25884000,CHURCH,ST,25884000,POINT (-122.42912798583025 37.769456128617115)
20274000,BLANKEN,AVE,20274000,POINT (-122.39820445661127 37.71140425539436)
51202000,PRESIDIO,BLVD,51202000,POINT (-122.45074324080807 37.79529260853557)
23983000,26TH,ST,23983000,POINT (-122.41321288436045 37.749337920008934)
23146000,BEACHMONT,DR,23146000,POINT (-122.47411890603567 37.73456824713913)
24732000,SACRAMENTO,ST,24732000,POINT (-122.40401611381442 37.79364630923994)
21287000,MONTEZUMA,ST,21287000,POINT (-122.41764047259552 37.74588165451672)
26003000,PIERCE,ST,26003000,POINT (-122.43392218803747 37.77262031118224)
23967000,POTRERO,AVE,23967000,POINT (-122.4066990016034 37.75683373475215)
54019000,BERTIE MINOR,LN,54019000,POINT (-122.42896506262967 37.78461599835727)
20477000,KEITH,ST,20477000,POINT (-122.39729521093531 37.72059046127587)
22990000,TARAVAL,ST,22990000,POINT (-122.47023491509695 37.74328916904352)
22576000,PLYMOUTH,AVE,22576000,POINT (-122.45613349835662 37.72003330151482)
33732000,JOHNSTONE,DR,33732000,POINT (-122.45408253242594 37.75880460996661)
33362000,CESAR CHAVEZ,ST,33362000,POINT (-122.4213847466366 37.74803212495931)
50824000,JENNINGS,CT,50824000,POINT (-122.39776751677593 37.71714363666481)
27020000,MARINA,BLVD,27020000,POINT (-122.44728687112143 37.805160089804346)
33143000,PROGRESS,ST,33143000,POINT (-122.38340761283419 37.73323651710481)
20306000,BAY SHORE,BLVD,20306000,POINT (-122.40510945395187 37.70885360593277)
33209000,BAY SHORE,BLVD,33209000,POINT (-122.39899104926596 37.715338789647134)
25782000,LIBERTY,ST,25782000,POINT (-122.4306784949996 37.75712500512738)
21382000,BALTIMORE,WAY,21382000,POINT (-122.4319252065869 37.709209607387486)
33427000,ONONDAGA,AVE,33427000,POINT (-122.43916814822673 37.72183387823658)
22862000,WOODSIDE,AVE,22862000,POINT (-122.45716674065626 37.746698020882114)
26988000,CERVANTES,BLVD,26988000,POINT (-122.44050703443045 37.804756504929465)
23435000,39TH,AVE,23435000,POINT (-122.49685477133822 37.73837949817075)
25647000,VICKSBURG,ST,25647000,POINT (-122.42854784914176 37.7516377979184)
21022000,WATERLOO,ST,21022000,POINT (-122.40600653529441 37.73918062654479)
52092000,SAN JOSE,AVE,52092000,POINT (-122.43550058567743 37.73153654546887)
20815000,FLOWER,ST,20815000,POINT (-122.40558142575581 37.74245675231338)
23244000,SLOAT,BLVD,23244000,POINT (-122.48552546821104 37.734194177264705)
23137000,MIDDLEFIELD,DR,23137000,POINT (-122.48640235690532 37.734156088599875)
50080000,08TH,ST,50080000,POINT (-122.40842923149008 37.77369030318641)
22123000,SANTA ROSA,AVE,22123000,POINT (-122.43909672413689 37.728404171363984)
22253000,HAZELWOOD,AVE,22253000,POINT (-122.45428542152142 37.730477459738815)
20622000,DONNER,AVE,20622000,POINT (-122.40275224526161 37.729357163678046)
20528000,POMONA,ST,20528000,POINT (-122.39324250453066 37.732615578172826)
